Full Name
Michał‚ Czuba
 Piotr Bródka
Mykola Makhortykh
 Silke Adam
 Maryna Sydorova
 Franziska Keller
 Jiliang Tang
Akrati Saxena
 George Fletcher
 Mykola Pechenizkiy
Marie Decker
 Laila Wegner
 Carmen Leicht-Scholten
Anna Seo Gyeong Choi
Orestis Papakyriakopoulos
 Alice Xiang
 Emma Hoes
 Fabrizio Gilardi
Peidong Mei
 Stefan Sarkadi
Reid McIlroy-Young
 Siddhartha Sen
 Jon Kleinberg
 Ashton Anderson
Bhargav Srinivasa Desikan
 James Evans
Jeff T Sheng
Sima Farokhnejad
 Marcos Oliveira
 Eraldo Ribeiro
 Ronaldo Menezes
Alberto Amaduzzi
 Lucila Alvarez-Zuzek
 Valeria D'Andrea
 Lorenzo Lucchini
 Filippo Privitera
 Manlio De Domenico
 Bruno Lepri
 Marta Gonzalez
 Armando Bazzani
 Riccardo Gallotti
Louis Boucherie
Kevin Sparks
 Christa Brelsford
 Jesse Piburn
 Andy Berres
 Marie Urban
 Gautam Thakur
 Tiago Oliveira Cunha
 Astrid Gühnemann
 Michael Szell
Yan Asadchy
 Maximilan Schich
 Alex Pentland
Ollie Ballinger
 Sam Heroy
 Neave O'Clery
Pablo Andres Astudillo
 Nicola Pedreschi
 Luca Pappalardo
 Renaud Lambiotte
Fátima Velásquez-Rojas
 Erjian Liu
 José Javier Ramasco
 Luca Pappalardo
 Bruno Lepri
 Gianni Barlacchi
Takayuki Mizuno
 Taizo Horikomi
 Shouji Fujimoto
 Atushi Ishikawa
Katinka Den Nijs
Hasan Alp Boz
 Mohsen Bahrami
 Selim Balcisoy
 Alex Pentland
Sanggoo Kang
 Woo-sung Jung
Luca Maria Aiello
  Bokányi
 Michael Szell
Adam Finnemann
 Denny Borsboom
 Sacha Epskamp
Cesar Augusto Marin
 Jesus Berrios
 Loreto Bravo
 Vittoria Colizza
 Leo Ferres
Clodomir Santana
 Federico Botta
 Hugo Barbosa
 Filippo Privitera
 Ronaldo Menezes
 Riccardo Di Clemente
Hui Wang
 Becky P.Y. Loo
Hugo Contreras
 Rodrigo Troncoso
 Leonardo Ferres
 Carlos Rodriguez
 Leonardo Ferres
 Rodrigo Troncoso
 Carlos Rodriguez
Ting Lian
 Becky P.Y. Loo
 Justyna Czestochowska
 Ashton Anderson
 Robert West
Sydney DeMets
 Emma Spiro
Inês Terrucha
 Elias Fernández Domingos
 Rémi Suchonn
 Francisco C Santos
 Pieter Simoens
 Tom Lenaerts
Srishti Vashistha
 Rosalia Steffi Longjam
 Rishabh Kaushal
Felix Victor Münch
 Jan-Philipp Rau
 Philipp Kessling
Mingmeng Geng
 Roberto Trotta
 Satyaki Sikdar
 Francesco Rinaldi
 Francesco Tudisco
 Santo Fortunato
 Mia Ann Jørgensen
 Sune Lehmann
 Laura Alessandretti
 Mathias Wullum Nielsen
 Bramantyo Supriyatno
